CountryName	CountryCode	GDP	Variable
Gambia	GMB	850902397.34	72
Guinea-Bissau	GNB	1022371991.53	83
Timor-Leste	TLS	1417000000.00	72
Seychelles	SYC	1422608276.1	45
Liberia	LBR	2013000000.00	63
Lesotho	LSO	2181300505.86	56
Burundi	BDI	3093647226.81	79
Guyana	GUY	3096747286.98	71
Malawi	MWI	4258033615.3	69
Togo	TGO	4518443476.63	68
Montenegro	MNE	4587928884.17	56
Sierra Leone	SLE	4837512587.35	71
Mauritania	MRT	5061180371.05	69
Suriname	SUR	5210303030.3	64
Somalia	SOM	5707000000.00	92
Guinea	GIN	6624068015.5	75
Kosovo	KSV	7386758657.29	67
Kyrgyzstan	KGZ	7404412710.31	72
Rwanda	RWA	7890190336.75	46
Moldova	MDA	7962423551.54	67
Tajikistan	TJK	9241627840.61	74
Benin	BEN	9575356734.73	63
Madagascar	MDG	10593147380.73	72
Macedonia	MKD	11323769141.48	58
Armenia	ARM	11644438422.98	65
Mongolia	MNG	12015944336.55	61
Mali	MLI	12037229619.42	65
Burkina Faso	BFA	12542221941.86	62
Mauritius	MUS	12630332836.95	47
Namibia	NAM	12995241138.15	47
Albania	ALB	13211513725.59	64
South Sudan	SSD	13282084041.62	85
Jamaica	JAM	13891359467.72	59
Chad	TCD	13922224560.79	78
Zimbabwe	ZWE	14196912534.63	79
Senegal	SEN	15657551477.2	56
Botswana	BWA	15813364345.32	37
Mozambique	MOZ	15938468562.5	69
Georgia	GEO	16529963187.4	48
Cambodia	KHM	16777820332.71	79
Papua New Guinea	PNG	16928577232.47	75
Iceland	ISL	17036097481.81	21
Gabon	GAB	18179717776.16	66
Bosnia and Herzegovina	BIH	18521475376.48	62
Honduras	HND	19385314718.41	69
Nepal	NPL	19769642122.58	73
Afghanistan	AFG	20038215159.39	89
Cyprus	CYP	23226158986.17	39
El Salvador	SLV	25163700000.00	61
Estonia	EST	26485161115.94	30
Uganda	UGA	26998477288.85	75
Zambia	ZMB	27066230009.1	62
Trinidad and Tobago	TTO	28882663253.84	61
Paraguay	PRY	30880859579.51	73
Latvia	LVA	31286809075.23	45
Cameroon	CMR	32050817632.96	73
Bolivia	BOL	32996187988.42	66
Bahrain	BHR	33851063829.79	49
Jordan	JOR	35826925774.65	47
Ghana	GHA	38616536131.65	53
Libya	LBY	41142722414.34	84
Serbia	SRB	43866423166.94	60
Lebanon	LBN	45730945273.63	72
Panama	PAN	46212600000.00	61
Tanzania	TZA	48056680982.15	70
Lithuania	LTU	48353937110.26	39
Tunisia	TUN	48612652412.09	62
Slovenia	SVN	49491440620.37	40
Ethiopia	ETH	55612228233.52	67
Bulgaria	BGR	56717054673.72	59
Croatia	HRV	57113389357.45	49
Uruguay	URY	57471030095.37	26
Guatemala	GTM	58827085046.95	72
Kenya	KEN	60936509777.96	75
Dominican Republic	DOM	64137819040.49	67
Nicaragua	NIC	64137819040.49	73
Myanmar	MMR	64330038664.73	78
Luxembourg	LUX	64873963098.49	19
Azerbaijan	AZE	75198010965.19	71
Belarus	BLR	76139250364.52	68
Sri Lanka	LKA	78823610056.93	63
Oman	OMN	81796618985.7	55
Slovakia	SVK	100248607784.1	49
Ecuador	ECU	100917000000.00	68
Morocco	MAR	110009040838.42	64
Ukraine	UKR	131805126738.29	73
Hungary	HUN	138346669914.95	49
Kuwait	KWT	163612438510.19	51
Bangladesh	BGD	172886567164.18	75
Vietnam	VNM	186204652922.26	69
Romania	ROU	199043652215.45	54
New Zealand	NZL	199969858903.72	12
Peru	PER	202596307719.12	64
Czech Republic	CZE	205269709743.47	44
Qatar	QAT	210109065934.07	29
Algeria	DZA	213518488688.12	64
Kazakhstan	KAZ	217872250221.41	72
Iraq	IRQ	223500000000.00	84
Portugal	PRT	230116912513.59	37
Greece	GRC	235574074998.31	54
Pakistan	PAK	243631917866.48	70
Ireland	IRL	250813607686.11	25
Chile	CHL	258061522886.53	30
Finland	FIN	272216575502.25	10
Philippines	PHL	284777093019.07	65
Hong Kong	HKG	290895784165.8	25
Egypt	EGY	301498960051.64	64
Israel	ISR	305675000000.00	39
Singapore	SGP	307859758503.67	15
Malaysia	MYS	338103822298.27	50
Denmark	DNK	342362478767.51	9
South Africa	ZAF	350140810003.32	56
Colombia	COL	377739622865.84	63
United Arab Emirates	ARE	399451327433.63	30
Thailand	THA	404823952117.93	62
Iran	IRN	425326068422.88	73
Austria	AUT	436887543466.95	24
Norway	NOR	499817138323.2	13
Belgium	BEL	531546586178.58	23
Argentina	ARG	537659972702.09	68
Poland	POL	544966555714.06	38
Sweden	SWE	571090000000.00	11
Switzerland	CHE	701037135966.05	14
Saudi Arabia	SAU	753831733333.33	48
Turkey	TUR	798429233036.33	58
Netherlands	NLD	879319321494.64	13
Indonesia	IDN	888538201025.35	64
Mexico	MEX	1294689733233.03	65
Spain	ESP	1381342101735.68	42
Australia	AUS	1454675479665.84	21
Canada	CAN	1785386649602.19	17
Russia	RUS	1860597922763.44	71
India	IND	2048517438873.54	62
Italy	ITA	2141161325367.43	56
Brazil	BRA	2416635506076.31	62
France	FRA	2829192039171.84	30
United Kingdom	GBR	2988893283565.2	19
Germany	DEU	3868291231823.77	19
Japan	JPN	4601461206885.08	25
China	CHN	10354831729340.4	63
United States	USA	17419000000000.00	24
