CountryName	CountryCode	GDP	MilitarySecurityPercentage	Variable
Gambia, The	GMB	850902397.34	1.72	1459995686.87
Guinea-Bissau	GNB	1022371991.53	2.10	2147083120.89
Timor-Leste	TLS	1417000000.00	2.09	2962400000.00
Seychelles	SYC	1422608276.1	2.42	3444216728.77
Belize	BLZ	1699154132.06	1.05	1776025000.00
Cabo Verde	CPV	1871187071.00	0.54	1004886065.99
Liberia	LBR	2013000000.00	0.71	1438450000.00
Lesotho	LSO	2181300505.86	2.19	4769320077.03
Burundi	BDI	3093647226.81	2.01	6217742740.01
Guyana	GUY	3096747286.98	1.27	3928096112.75
Malawi	MWI	4258033615.3	1.27	5391229462.18
Swaziland	SWZ	4412891830.03	1.84	8135533093.15
Togo	TGO	4518443476.63	1.84	8308000364.07
Fiji	FJI	4531817940.97	0.96	4328935516.35
Montenegro	MNE	4587928884.17	1.51	6912564680.91
Sierra Leone	SLE	4837512587.35	1.01	4881063059.27
Mauritania	MRT	5061180371.05	2.86	14471287128.71
Somalia	SOM	5707000000.00	0.00	297908.74
Guinea	GIN	6624068015.5	3.85	25477184675.00
Kosovo	KSV	7386758657.29	0.73	5357797001.46
Kyrgyz Republic	KGZ	7404412710.31	3.40	25211493623.04
Rwanda	RWA	7890190336.75	1.15	9078477306.00
Moldova	MDA	7962423551.54	0.35	2756561885.49
Tajikistan	TJK	9241627840.61	1.13	10428068919.28
Benin	BEN	9575356734.73	0.97	9299070618.81
Madagascar	MDG	10593147380.73	0.66	6967665429.15
Macedonia, FYR	MKD	11323769141.48	1.09	12325038718.75
Armenia	ARM	11644438422.98	3.93	45780700990.91
Nicaragua	NIC	11805641286.8	0.69	8139193109.11
Mongolia	MNG	12015944336.55	0.87	10510255330.64
Mali	MLI	12037229619.42	1.81	21811838233.06
Burkina Faso	BFA	12542221941.86	1.63	20417880258.90
Mauritius	MUS	12630332836.95	0.26	3287222091.60
Namibia	NAM	12995241138.15	4.20	54595400222.99
Albania	ALB	13211513725.59	1.35	17812042563.84
South Sudan	SSD	13282084041.62	9.77	129828813559.32
Jamaica	JAM	13891359467.72	0.87	12099910312.89
Chad	TCD	13922224560.79	2.82	39238295459.28
Congo, Rep.	COG	14177440494.82	4.97	70489380477.81
Zimbabwe	ZWE	14196912534.63	2.59	36810000000.00
Equatorial Guinea	GNQ	15529729676.69	1.07	16654025464.44
Senegal	SEN	15657551477.2	1.53	23989361164.20
Botswana	BWA	15813364345.32	2.40	37878365882.73
Mozambique	MOZ	15938468562.5	1.02	16213095238.10
Georgia	GEO	16529963187.4	2.51	41563536423.93
Cambodia	KHM	16777820332.71	1.66	27834055727.55
Papua New Guinea	PNG	16928577232.47	0.66	11237507109.77
Brunei Darussalam	BRN	17104656669.3	3.09	52780189423.84
Gabon	GAB	18179717776.16	1.14	20812475349.66
Bosnia and Herzegovina	BIH	18521475376.48	1.03	19037647537.65
Honduras	HND	19385314718.41	1.64	31731187884.52
Nepal	NPL	19769642122.58	1.61	31770071803.56
Afghanistan	AFG	20038215159.39	1.33	26738126206.88
Cyprus	CYP	23226158986.17	1.54	35780682104.06
El Salvador	SLV	25163700000.0	0.93	23380000000.00
Estonia	EST	26485161115.94	1.93	51211922400.97
Uganda	UGA	26998477288.85	1.24	33358752799.52
Zambia	ZMB	27066230009.1	1.64	44360583799.25
Trinidad and Tobago	TTO	28882663253.84	0.68	19516984798.35
Paraguay	PRY	30880859579.51	1.40	43198229694.75
Latvia	LVA	31286809075.23	0.96	29945601698.29
Cameroon	CMR	32050817632.96	1.25	40152907982.16
Bolivia	BOL	32996187988.42	1.90	62588509406.66
Congo, Dem. Rep.	COD	33121070959.39	1.04	34286862368.18
Bahrain	BHR	33851063829.79	4.36	147526595744.68
Cote d'Ivoire	CIV	34253607832.41	1.52	52126047955.66
Jordan	JOR	35826925774.65	4.33	155000000000.00
Ghana	GHA	38616536131.65	0.48	18498960853.12
Libya	LBY	41142722414.34	7.99	328882426909.78
Serbia	SRB	43866423166.94	2.08	91336859894.15
Lebanon	LBN	45730945273.63	4.96	227006595979.38
Tanzania	TZA	48056680982.15	1.03	49651079789.49
Lithuania	LTU	48353937110.26	0.88	42691766033.32
Tunisia	TUN	48612652412.09	1.90	92177652117.57
Slovenia	SVN	49491440620.37	0.98	48619484671.14
Ethiopia	ETH	55612228233.52	0.73	40599836436.84
Bulgaria	BGR	56717054673.72	1.47	83570750237.42
Croatia	HRV	57113389357.45	1.59	90618207112.43
Uruguay	URY	57471030095.37	1.48	85178589096.67
Guatemala	GTM	58827085046.95	0.42	24567393497.32
Kenya	KEN	60936509777.96	1.34	81904228966.06
Dominican Republic	DOM	64137819040.49	0.68	43872751635.11
Myanmar	MMR	64330038664.73	3.69	237289591161.43
Luxembourg	LUX	64873963098.49	0.43	27901899946.00
Caribbean small states	CSS	71288024078.6	0.78	55929067604.78
Azerbaijan	AZE	75198010965.19	4.56	342738747928.09
Belarus	BLR	76139250364.52	1.33	101082701391.15
Sri Lanka	LKA	78823610056.93	2.57	202198603451.01
Oman	OMN	81796618985.7	13.39	1095136540962.29
Slovak Republic	SVK	100248607784.1	1.00	99770377320.03
Ecuador	ECU	100917372000.00	2.90	292231900000.00
Morocco	MAR	110009040838.42	3.68	404863019402.12
Ukraine	UKR	131805126738.29	3.06	403333137035.51
Hungary	HUN	138346669914.95	0.87	120980216536.14
Kuwait	KWT	163612438510.19	3.63	594158468025.30
Bangladesh	BGD	172886567164.18	0.00	237162249.10
Vietnam	VNM	186204652922.26	2.29	425572158123.70
Romania	ROU	199043652215.45	1.35	269145019706.20
New Zealand	NZL	199969858903.72	1.14	227568042142.23
Peru	PER	202596307719.12	1.45	292880723340.15
Czech Republic	CZE	205269709743.47	0.99	202290738287.37
Algeria	DZA	213518488688.12	5.56	1186321498157.09
Kazakhstan	KAZ	217872250221.41	1.06	230646843575.90
Iraq	IRQ	223500000000.00	4.26	951972555746.14
