CountryName	CountryCode	GDP	Variable
Tuvalu	TUV	37859550.4	38.41
Kiribati	KIR	166756805.48	17.41
Marshall Islands	MHL	186716625.75	29.37
Palau	PLW	250625562.79	90.60
Sao Tome and Principe	STP	337413478.15	64.94
Tonga	TON	434380116.96	64.28
Dominica	DMA	524074074.07	127.45
Comoros	COM	623751049.73	50.90
St. Vincent and the Grenadines	VCT	729309384.44	105.16
Samoa	WSM	800418989.62	55.53
Vanuatu	VUT	814954306.97	60.41
Gambia, The	GMB	850902397.34	119.63
St. Kitts and Nevis	KNA	852203083.88	118.64
Grenada	GRD	911803790.37	110.20
Guinea-Bissau	GNB	1022371991.53	63.48
Solomon Islands	SLB	1158183053.76	65.76
Antigua and Barbuda	ATG	1220976011.11	132.05
St. Lucia	LCA	1404430563.81	102.59
Timor-Leste	TLS	1417000000.00	119.38
Seychelles	SYC	1422608276.1	162.19
Djibouti	DJI	1589026157.88	32.39
Belize	BLZ	1699154132.06	50.71
Central African Republic	CAF	1722529061.42	24.54
Cabo Verde	CPV	1871187071.00	121.79
Bhutan	BTN	1958803866.95	82.07
Liberia	LBR	2013000000.00	73.35
Lesotho	LSO	2181300505.86	85.02
Greenland	GRL	2441226080.04	106.36
Maldives	MDV	3061829144.68	189.38
Burundi	BDI	3093647226.81	30.46
Guyana	GUY	3096747286.98	70.54
Malawi	MWI	4258033615.3	33.47
Barbados	BRB	4354500000.00	128.73
Swaziland	SWZ	4412891830.03	72.32
Togo	TGO	4518443476.63	64.58
Fiji	FJI	4531817940.97	98.78
Montenegro	MNE	4587928884.17	163.03
Sierra Leone	SLE	4837512587.35	76.66
Mauritania	MRT	5061180371.05	94.20
Suriname	SUR	5210303030.3	170.57
Somalia	SOM	5707000000.00	50.90
Guinea	GIN	6624068015.5	72.10
Kyrgyz Republic	KGZ	7404412710.31	134.46
Rwanda	RWA	7890190336.75	64.02
Moldova	MDA	7962423551.54	108.00
Niger	NER	8168695869.87	44.44
Bahamas, The	BHS	8510500000.00	82.30
Haiti	HTI	8713041022.95	64.71
Tajikistan	TJK	9241627840.61	95.13
Benin	BEN	9575356734.73	99.65
Madagascar	MDG	10593147380.73	41.21
Macedonia, FYR	MKD	11323769141.48	105.50
Armenia	ARM	11644438422.98	115.92
Nicaragua	NIC	11805641286.8	114.57
Lao PDR	LAO	11997062176.69	66.99
Mongolia	MNG	12015944336.55	105.06
Mali	MLI	12037229619.42	149.07
Burkina Faso	BFA	12542221941.86	71.74
Mauritius	MUS	12630332836.95	132.25
Namibia	NAM	12995241138.15	113.76
Albania	ALB	13211513725.59	105.47
South Sudan	SSD	13282084041.62	24.50
