CountryName	CountryCode	GDP	Variable
Malawi	MWI	255.04	69
Burundi	BDI	286.00	79
Gambia	GMB	441.29	72
Madagascar	MDG	449.4	72
Liberia	LBR	457.86	63
Somalia	SOM	542.62	92
Guinea-Bissau	GNB	567.82	83
Ethiopia	ETH	573.57	67
Mozambique	MOZ	585.62	69
Afghanistan	AFG	633.57	89
Togo	TGO	635.04	68
Rwanda	RWA	695.69	46
Nepal	NPL	701.68	73
Mali	MLI	704.51	65
Burkina Faso	BFA	713.06	62
Uganda	UGA	714.57	75
Sierra Leone	SLE	765.96	71
Benin	BEN	903.46	63
Zimbabwe	ZWE	931.2	79
Tanzania	TZA	955.14	70
Chad	TCD	1024.67	78
Lesotho	LSO	1034.19	56
Senegal	SEN	1067.13	56
Bangladesh	BGD	1086.81	75
Cambodia	KHM	1094.58	79
Tajikistan	TJK	1114.01	74
South Sudan	SSD	1115.09	85
Timor-Leste	TLS	1169.04	72
Myanmar	MMR	1203.84	78
Kyrgyzstan	KGZ	1268.86	72
Mauritania	MRT	1274.98	69
Pakistan	PAK	1316.61	70
Kenya	KEN	1358.26	75
Cameroon	CMR	1407.4	73
Ghana	GHA	1441.64	53
India	IND	1581.51	62
Zambia	ZMB	1721.62	62
Nicaragua	NIC	1963.05	73
Vietnam	VNM	2052.32	69
Moldova	MDA	2238.9	67
Papua New Guinea	PNG	2268.16	75
Honduras	HND	2434.83	69
Philippines	PHL	2872.51	65
Ukraine	UKR	3082.46	73
Bolivia	BOL	3124.08	66
Morocco	MAR	3190.31	64
Egypt	EGY	3365.71	64
Indonesia	IDN	3491.93	64
Guatemala	GTM	3673.14	72
Sri Lanka	LKA	3794.89	63
Armenia	ARM	3873.53	65
Guyana	GUY	4053.9	71
El Salvador	SLV	4119.99	61
Mongolia	MNG	4129.37	61
Tunisia	TUN	4420.70	62
Georgia	GEO	4435.19	48
Albania	ALB	4564.39	64
Paraguay	PRY	4712.82	73
Bosnia and Herzegovina	BIH	4851.66	62
Jamaica	JAM	5106.08	59
Namibia	NAM	5408.24	47
Iran	IRN	5442.87	73
Macedonia	MKD	5455.59	58
Algeria	DZA	5484.07	64
Thailand	THA	5977.38	62
Serbia	SRB	6152.92	60
Dominican Republic	DOM	6163.58	67
Ecuador	ECU	6345.84	68
Iraq	IRQ	6420.14	84
South Africa	ZAF	6483.85	56
Peru	PER	6541.03	64
Libya	LBY	6573.39	84
Botswana	BWA	7123.34	37
Montenegro	MNE	7378.35	56
China	CHN	7590.02	63
Bulgaria	BGR	7851.27	59
Azerbaijan	AZE	7886.46	71
Colombia	COL	7903.93	63
Belarus	BLR	8040.05	68
Suriname	SUR	9680.12	64
Romania	ROU	10000.00	54
Mauritius	MUS	10016.65	47
Lebanon	LBN	10057.89	72
Mexico	MEX	10325.65	65
Turkey	TUR	10515.01	58
Gabon	GAB	10772.06	66
Malaysia	MYS	11307.06	50
Brazil	BRA	11726.81	62
Panama	PAN	11948.85	61
Argentina	ARG	12509.53	68
Kazakhstan	KAZ	12601.62	72
Russia	RUS	12735.92	71
Croatia	HRV	13475.26	49
Hungary	HUN	14026.57	49
Poland	POL	14336.80	38
Chile	CHL	14528.33	30
Seychelles	SYC	15564.64	45
Latvia	LVA	15692.19	45
Lithuania	LTU	16489.73	39
Uruguay	URY	16806.77	26
Slovakia	SVK	18500.66	49
Oman	OMN	19309.61	55
Czech Republic	CZE	19502.42	44
Estonia	EST	20147.78	30
Trinidad and Tobago	TTO	21323.75	61
Greece	GRC	21672.67	54
Portugal	PRT	22124.37	37
Slovenia	SVN	24001.90	40
Saudi Arabia	SAU	24406.48	48
Cyprus	CYP	27194.39	39
Spain	ESP	29721.60	42
Italy	ITA	35222.76	56
Japan	JPN	36194.42	25
Israel	ISR	37206.18	39
Hong Kong	HKG	40169.54	25
France	FRA	42725.74	30
Kuwait	KWT	43593.70	51
United Arab Emirates	ARE	43962.71	30
New Zealand	NZL	44342.16	12
United Kingdom	GBR	46296.98	19
Belgium	BEL	47327.62	23
Germany	DEU	47773.94	19
Finland	FIN	49842.71	10
Canada	CAN	50230.81	17
Austria	AUT	51122.43	24
Iceland	ISL	52036.73	21
Netherlands	NLD	52138.68	13
Ireland	IRL	54339.32	25
United States	USA	54629.50	24
Singapore	SGP	56284.33	15
Sweden	SWE	58898.93	11
Denmark	DNK	60718.39	9
Australia	AUS	61979.90	21
Switzerland	CHE	85616.56	14
Qatar	QAT	96732.40	29
Norway	NOR	97299.64	13
Luxembourg	LUX	116612.88	19
