CountryName	CountryCode	GDP	MilitaryPercentage	Variable
Malawi	MWI	255.04	1.27	5391229462.18
Burundi	BDI	286.00	2.01	6217742740.01
Gambia, The	GMB	441.29	1.72	1459995686.87
Congo, Dem. Rep.	COD	442.34	1.04	34286862368.18
Madagascar	MDG	449.4	0.66	6967665429.15
Liberia	LBR	457.86	0.71	1438450000.00
Guinea	GIN	539.62	3.85	25477184675.00
Somalia	SOM	542.62	0.00	297908.74
Guinea-Bissau	GNB	567.82	2.10	2147083120.89
Ethiopia	ETH	573.57	0.73	40599836436.84
Mozambique	MOZ	585.62	1.02	16213095238.10
Afghanistan	AFG	633.57	1.33	26738126206.88
Togo	TGO	635.04	1.84	8308000364.07
Rwanda	RWA	695.69	1.15	9078477306.00
Nepal	NPL	701.68	1.61	31770071803.56
Mali	MLI	704.51	1.81	21811838233.06
Burkina Faso	BFA	713.06	1.63	20417880258.90
Uganda	UGA	714.57	1.24	33358752799.52
Sierra Leone	SLE	765.96	1.01	4881063059.27
Benin	BEN	903.46	0.97	9299070618.81
Zimbabwe	ZWE	931.2	2.59	36810000000.00
Tanzania	TZA	955.14	1.03	49651079789.49
Chad	TCD	1024.67	2.82	39238295459.28
Lesotho	LSO	1034.19	2.19	4769320077.03
Senegal	SEN	1067.13	1.53	23989361164.20
Bangladesh	BGD	1086.81	0.00	237162249.10
Cambodia	KHM	1094.58	1.66	27834055727.55
Tajikistan	TJK	1114.01	1.13	10428068919.28
South Sudan	SSD	1115.09	9.77	129828813559.32
Timor-Leste	TLS	1169.04	2.09	2962400000.00
Myanmar	MMR	1203.84	3.69	237289591161.43
Kyrgyz Republic	KGZ	1268.86	3.40	25211493623.04
Mauritania	MRT	1274.98	2.86	14471287128.71
Pakistan	PAK	1316.61	3.49	850409747176.91
Kenya	KEN	1358.26	1.34	81904228966.06
Cameroon	CMR	1407.4	1.25	40152907982.16
Ghana	GHA	1441.64	0.48	18498960853.12
Cote d'Ivoire	CIV	1545.94	1.52	52126047955.66
India	IND	1581.51	2.48	5075493132247.32
Zambia	ZMB	1721.62	1.64	44360583799.25
Nicaragua	NIC	1963.05	0.69	8139193109.11
Vietnam	VNM	2052.32	2.29	425572158123.70
Moldova	MDA	2238.9	0.35	2756561885.49
Papua New Guinea	PNG	2268.16	0.66	11237507109.77
Honduras	HND	2434.83	1.64	31731187884.52
Philippines	PHL	2872.51	1.09	310312826611.89
Ukraine	UKR	3082.46	3.06	403333137035.51
Bolivia	BOL	3124.08	1.90	62588509406.66
Congo, Rep.	COG	3147.07	4.97	70489380477.81
Morocco	MAR	3190.31	3.68	404863019402.12
Nigeria	NGA	3203.3	0.41	235771050141.91
Egypt, Arab Rep.	EGY	3365.71	1.71	516251882665.14
Swaziland	SWZ	3477.15	1.84	8135533093.15
Indonesia	IDN	3491.93	0.78	692924870420.46
Cabo Verde	CPV	3641.11	0.54	1004886065.99
Guatemala	GTM	3673.14	0.42	24567393497.32
Sri Lanka	LKA	3794.89	2.57	202198603451.01
Armenia	ARM	3873.53	3.93	45780700990.91
Kosovo	KSV	4051.65	0.73	5357797001.46
Guyana	GUY	4053.9	1.27	3928096112.75
El Salvador	SLV	4119.99	0.93	23380000000.00
Mongolia	MNG	4129.37	0.87	10510255330.64
Tunisia	TUN	4420.7	1.90	92177652117.57
Georgia	GEO	4435.19	2.51	41563536423.93
Albania	ALB	4564.39	1.35	17812042563.84
Paraguay	PRY	4712.82	1.40	43198229694.75
Belize	BLZ	4831.18	1.05	1776025000.00
Bosnia and Herzegovina	BIH	4851.66	1.03	19037647537.65
Jamaica	JAM	5106.08	0.87	12099910312.89
Fiji	FJI	5112.32	0.96	4328935516.35
Namibia	NAM	5408.24	4.20	54595400222.99
Jordan	JOR	5422.57	4.33	155000000000.00
Iran, Islamic Rep.	IRN	5442.87	2.33	990111887232.40
Macedonia, FYR	MKD	5455.59	1.09	12325038718.75
Algeria	DZA	5484.07	5.56	1186321498157.09
Thailand	THA	5977.38	1.42	572978435827.81
Serbia	SRB	6152.92	2.08	91336859894.15
Dominican Republic	DOM	6163.58	0.68	43872751635.11
Ecuador	ECU	6345.84	2.90	292231900000.00
Iraq	IRQ	6420.14	4.26	951972555746.14
South Africa	ZAF	6483.85	1.11	389645807974.62
Peru	PER	6541.03	1.45	292880723340.15
Libya	LBY	6573.39	7.99	328882426909.78
Botswana	BWA	7123.34	2.40	37878365882.73
Montenegro	MNE	7378.35	1.51	6912564680.91
China	CHN	7590.02	1.93	19965241788799.70
Bulgaria	BGR	7851.27	1.47	83570750237.42
Azerbaijan	AZE	7886.46	4.56	342738747928.09
Colombia	COL	7903.93	3.14	1184595118047.38
Belarus	BLR	8040.05	1.33	101082701391.15
Romania	ROU	10000.00	1.35	269145019706.20
Mauritius	MUS	10016.65	0.26	3287222091.60
Lebanon	LBN	10057.89	4.96	227006595979.38
Caribbean small states	CSS	10165.33	0.78	55929067604.78
Mexico	MEX	10325.65	0.67	866338160616.89
Turkey	TUR	10515.01	2.23	1777064039109.53
Gabon	GAB	10772.06	1.14	20812475349.66
Malaysia	MYS	11307.06	1.45	491918482080.11
Brazil	BRA	11726.81	1.35	3266516529276.79
Argentina	ARG	12509.53	0.91	488483125592.24
Kazakhstan	KAZ	12601.62	1.06	230646843575.90
Russian Federation	RUS	12735.92	4.55	8469652042044.70
Croatia	HRV	13475.26	1.59	90618207112.43
Hungary	HUN	14026.57	0.87	120980216536.14
Poland	POL	14336.8	1.90	1034529022032.02
Chile	CHL	14528.33	1.99	512740112092.93
Seychelles	SYC	15564.64	2.42	3444216728.77
Latvia	LVA	15692.19	0.96	29945601698.29
Lithuania	LTU	16489.73	0.88	42691766033.32
Uruguay	URY	16806.77	1.48	85178589096.67
Slovak Republic	SVK	18500.66	1.00	99770377320.03
Equatorial Guinea	GNQ	18918.28	1.07	16654025464.44
Oman	OMN	19309.61	13.39	1095136540962.29
Czech Republic	CZE	19502.42	0.99	202290738287.37
Estonia	EST	20147.78	1.93	51211922400.97
Trinidad and Tobago	TTO	21323.75	0.68	19516984798.35
Greece	GRC	21672.67	2.35	553128563942.74
Portugal	PRT	22124.37	1.79	411154786322.84
Slovenia	SVN	24001.9	0.98	48619484671.14
Saudi Arabia	SAU	24406.48	10.71	8076240000000.00
Bahrain	BHR	24855.22	4.36	147526595744.68
Cyprus	CYP	27194.39	1.54	35780682104.06
Korea, Rep.	KOR	27970.5	2.64	3728619337016.15
Spain	ESP	29721.6	1.23	1705069247404.00
Italy	ITA	35222.76	1.47	3157111530788.21
Japan	JPN	36194.42	1.00	4588852751924.27
Israel	ISR	37206.18	5.92	1810617286204.22
Brunei Darussalam	BRN	40979.64	3.09	52780189423.84
France	FRA	42725.74	2.25	6361356604457.68
Kuwait	KWT	43593.7	3.63	594158468025.30
United Arab Emirates	ARE	43962.71	5.70	2275507147719.54
New Zealand	NZL	44342.16	1.14	227568042142.23
United Kingdom	GBR	46296.98	1.98	5914101997071.16
Belgium	BEL	47327.62	0.98	519150912836.81
Germany	DEU	47773.94	1.19	4610267076454.46
Finland	FIN	49842.71	1.32	359942863921.87
Canada	CAN	50230.81	1.00	1785364047768.49
Austria	AUT	51122.43	0.76	330515909547.42
Netherlands	NLD	52138.68	1.18	1033260237457.98
Ireland	IRL	54339.32	0.47	119127422600.61
United States	USA	54629.5	3.50	60991400000000.00
Singapore	SGP	56284.33	3.14	966754794412.44
Sweden	SWE	58898.93	1.15	655551806389.50
Denmark	DNK	60718.39	1.18	405686151068.46
Australia	AUS	61979.9	1.81	2625860644450.56
Switzerland	CHE	85616.56	0.66	461277647668.48
Norway	NOR	97299.64	1.47	733678920920.39
Luxembourg	LUX	116612.88	0.43	27901899946.00
