CountryName	CountryCode	GDP	Variable
Malawi	MWI	255.04	5.83
Burundi	BDI	286.00	1.38
Central African Republic	CAF	358.54	4.03
Niger	NER	427.37	1.95
Gambia, The	GMB	441.29	15.56
Congo, Dem. Rep.	COD	442.34	3.00
Madagascar	MDG	449.4	3.7
Liberia	LBR	457.86	5.41
Guinea	GIN	539.62	1.72
Somalia	SOM	542.62	1.63
Guinea-Bissau	GNB	567.82	3.32
Ethiopia	ETH	573.57	2.9
Mozambique	MOZ	585.62	5.94
Afghanistan	AFG	633.57	6.39
Togo	TGO	635.04	5.7
Rwanda	RWA	695.69	10.6
Nepal	NPL	701.68	15.44
Mali	MLI	704.51	7.00
Burkina Faso	BFA	713.06	9.4
Uganda	UGA	714.57	17.71
Sierra Leone	SLE	765.96	2.1
Comoros	COM	810.08	6.98
Haiti	HTI	824.16	11.4
Benin	BEN	903.46	5.3
Zimbabwe	ZWE	931.2	19.89
Tanzania	TZA	955.14	4.86
Chad	TCD	1024.67	2.5
Lesotho	LSO	1034.19	11.00
Senegal	SEN	1067.13	17.7
Bangladesh	BGD	1086.81	9.6
Cambodia	KHM	1094.58	9.00
Tajikistan	TJK	1114.01	17.49
South Sudan	SSD	1115.09	15.9
Timor-Leste	TLS	1169.04	1.14
Myanmar	MMR	1203.84	2.1
Kyrgyz Republic	KGZ	1268.86	28.3
Mauritania	MRT	1274.98	10.7
Pakistan	PAK	1316.61	13.8
Kenya	KEN	1358.26	43.4
Cameroon	CMR	1407.4	11.00
Ghana	GHA	1441.64	18.9
Kiribati	KIR	1509.52	12.25
Cote d'Ivoire	CIV	1545.94	14.6
India	IND	1581.51	18.00
Zambia	ZMB	1721.62	17.34
Lao PDR	LAO	1793.47	14.26
Sao Tome and Principe	STP	1810.72	24.41
Djibouti	DJI	1813.6	10.71
Sudan	SDN	1875.84	24.64
Nicaragua	NIC	1963.05	17.6
Solomon Islands	SLB	2024.19	9.00
Uzbekistan	UZB	2036.69	43.55
Vietnam	VNM	2052.32	48.31
Moldova	MDA	2238.9	46.6
Papua New Guinea	PNG	2268.16	9.38
Honduras	HND	2434.83	19.08
Bhutan	BTN	2560.5	34.37
Philippines	PHL	2872.51	39.69
Micronesia, Fed. Sts.	FSM	3057.09	29.65
Ukraine	UKR	3082.46	43.4
Bolivia	BOL	3124.08	39.02
Congo, Rep.	COG	3147.07	7.11
Vanuatu	VUT	3147.96	18.8
Morocco	MAR	3190.31	56.8
Nigeria	NGA	3203.3	42.68
Egypt, Arab Rep.	EGY	3365.71	31.7
Swaziland	SWZ	3477.15	27.1
Indonesia	IDN	3491.93	17.14
Marshall Islands	MHL	3529.75	16.8
Cabo Verde	CPV	3641.11	40.26
Guatemala	GTM	3673.14	23.4
Sri Lanka	LKA	3794.89	25.8
Armenia	ARM	3873.53	46.3
Guyana	GUY	4053.9	37.35
Tonga	TON	4113.99	40.00
El Salvador	SLV	4119.99	29.7
Mongolia	MNG	4129.37	27.00
Samoa	WSM	4172.22	21.2
Tunisia	TUN	4420.7	46.16
Georgia	GEO	4435.19	48.9
Albania	ALB	4564.39	60.1
Paraguay	PRY	4712.82	43.00
Belize	BLZ	4831.18	38.7
Bosnia and Herzegovina	BIH	4851.66	60.8
Jamaica	JAM	5106.08	40.5
Fiji	FJI	5112.32	41.8
Namibia	NAM	5408.24	14.84
Jordan	JOR	5422.57	44.00
Iran, Islamic Rep.	IRN	5442.87	39.35
Macedonia, FYR	MKD	5455.59	68.06
Algeria	DZA	5484.07	18.09
Thailand	THA	5977.38	34.89
Serbia	SRB	6152.92	53.5
Dominican Republic	DOM	6163.58	49.58
Ecuador	ECU	6345.84	43.00
Iraq	IRQ	6420.14	11.3
South Africa	ZAF	6483.85	49.00
Peru	PER	6541.03	40.2
Libya	LBY	6573.39	17.76
St. Vincent and the Grenadines	VCT	6668.89	56.48
Botswana	BWA	7123.34	18.5
Dominica	DMA	7244.5	62.86
Montenegro	MNE	7378.35	61.00
China	CHN	7590.02	49.3
Maldives	MDV	7635.48	49.28
St. Lucia	LCA	7647.53	51.00
Bulgaria	BGR	7851.27	55.49
Azerbaijan	AZE	7886.46	61.00
Colombia	COL	7903.93	52.57
Belarus	BLR	8040.05	59.02
Grenada	GRD	8573.69	37.38
Turkmenistan	TKM	9031.51	12.2
Suriname	SUR	9680.12	40.08
Romania	ROU	10000.00	54.08
Mauritius	MUS	10016.65	41.44
Lebanon	LBN	10057.89	74.7
Mexico	MEX	10325.65	44.39
Costa Rica	CRI	10415.44	49.41
Turkey	TUR	10515.01	51.04
Gabon	GAB	10772.06	9.81
Malaysia	MYS	11307.06	67.5
Brazil	BRA	11726.81	57.6
Panama	PAN	11948.85	44.92
Argentina	ARG	12509.53	64.7
Kazakhstan	KAZ	12601.62	54.89
Russian Federation	RUS	12735.92	70.52
Antigua and Barbuda	ATG	13432.08	64.00
Croatia	HRV	13475.26	68.57
Hungary	HUN	14026.57	76.13
Poland	POL	14336.8	66.6
Chile	CHL	14528.33	72.35
Barbados	BRB	15366.29	76.67
St. Kitts and Nevis	KNA	15510.39	65.4
Seychelles	SYC	15564.64	54.26
Latvia	LVA	15692.19	75.83
Lithuania	LTU	16489.73	72.13
Uruguay	URY	16806.77	61.46
Slovak Republic	SVK	18500.66	79.98
Equatorial Guinea	GNQ	18918.28	18.86
Oman	OMN	19309.61	70.22
Czech Republic	CZE	19502.42	79.71
Estonia	EST	20147.78	84.24
