Country Name	CountryCode	GDP	Corruption
_Gambia	GMB	850902397.34	72
_Guinea-Bissau	GNB	1022371991.53	83
_Timor-Leste	TLS	1417000000.00	72
_Seychelles	SYC	1422608276.1	45
_Liberia	LBR	2013000000.00	63
_Lesotho	LSO	2181300505.86	56
_Burundi	BDI	3093647226.81	79
_Guyana	GUY	3096747286.98	71
_Malawi	MWI	4258033615.3	69
_Togo	TGO	4518443476.63	68
_Montenegro	MNE	4587928884.17	56
_Sierra Leone	SLE	4837512587.35	71
_Mauritania	MRT	5061180371.05	69
_Suriname	SUR	5210303030.3	64
_Somalia	SOM	5707000000.00	92
_Guinea	GIN	6624068015.5	75
_Kosovo	KSV	7386758657.29	67
_Kyrgyzstan	KGZ	7404412710.31	72
_Rwanda	RWA	7890190336.75	46
_Moldova	MDA	7962423551.54	67
_Tajikistan	TJK	9241627840.61	74
_Benin	BEN	9575356734.73	63
_Madagascar	MDG	10593147380.73	72
_Macedonia	MKD	11323769141.48	58
_Armenia	ARM	11644438422.98	65
_Mongolia	MNG	12015944336.55	61
_Mali	MLI	12037229619.42	65
_Burkina Faso	BFA	12542221941.86	62
_Mauritius	MUS	12630332836.95	47
_Namibia	NAM	12995241138.15	47
_Albania	ALB	13211513725.59	64
_South Sudan	SSD	13282084041.62	85
_Jamaica	JAM	13891359467.72	59
_Chad	TCD	13922224560.79	78
_Zimbabwe	ZWE	14196912534.63	79
_Senegal	SEN	15657551477.2	56
_Botswana	BWA	15813364345.32	37
_Mozambique	MOZ	15938468562.5	69
_Georgia	GEO	16529963187.4	48
_Cambodia	KHM	16777820332.71	79
_Papua New Guinea	PNG	16928577232.47	75
_Iceland	ISL	17036097481.81	21
_Gabon	GAB	18179717776.16	66
_Bosnia and Herzegovina	BIH	18521475376.48	62
_Honduras	HND	19385314718.41	69
Nepal	NPL	19769642122.58	73
_Afghanistan	AFG	20038215159.39	89
_Cyprus	CYP	23226158986.17	39
_El Salvador	SLV	25163700000.00	61
_Estonia	EST	26485161115.94	30
_Uganda	UGA	26998477288.85	75
_Zambia	ZMB	27066230009.1	62
_Trinidad and Tobago	TTO	28882663253.84	61
_Paraguay	PRY	30880859579.51	73
_Latvia	LVA	31286809075.23	45
_Cameroon	CMR	32050817632.96	73
_Bolivia	BOL	32996187988.42	66
_Bahrain	BHR	33851063829.79	49
_Jordan	JOR	35826925774.65	47
_Ghana	GHA	38616536131.65	53
_Libya	LBY	41142722414.34	84
_Serbia	SRB	43866423166.94	60
_Lebanon	LBN	45730945273.63	72
_Panama	PAN	46212600000.00	61
_Tanzania	TZA	48056680982.15	70
_Lithuania	LTU	48353937110.26	39
_Tunisia	TUN	48612652412.09	62
_Slovenia	SVN	49491440620.37	40
_Ethiopia	ETH	55612228233.52	67
_Bulgaria	BGR	56717054673.72	59
_Croatia	HRV	57113389357.45	49
_Uruguay	URY	57471030095.37	26
_Guatemala	GTM	58827085046.95	72
_Kenya	KEN	60936509777.96	75
_Dominican Republic	DOM	64137819040.49	67
_Nicaragua	NIC	64137819040.49	73
_Myanmar	MMR	64330038664.73	78
_Luxembourg	LUX	64873963098.49	19
_Azerbaijan	AZE	75198010965.19	71
_Belarus	BLR	76139250364.52	68
_Sri Lanka	LKA	78823610056.93	63
_Oman	OMN	81796618985.7	55
_Slovakia	SVK	100248607784.1	49
_Ecuador	ECU	100917000000.00	68
_Morocco	MAR	110009040838.42	64
_Ukraine	UKR	131805126738.29	73
_Hungary	HUN	138346669914.95	49
_Kuwait	KWT	163612438510.19	51
_Bangladesh	BGD	172886567164.18	75
_Vietnam	VNM	186204652922.26	69
_Romania	ROU	199043652215.45	54
_New Zealand	NZL	199969858903.72	12
_Peru	PER	202596307719.12	64
_Czech Republic	CZE	205269709743.47	44
_Qatar	QAT	210109065934.07	29
_Algeria	DZA	213518488688.12	64
_Kazakhstan	KAZ	217872250221.41	72
_Iraq	IRQ	223500000000.00	84
_Portugal	PRT	230116912513.59	37
_Greece	GRC	235574074998.31	54
_Pakistan	PAK	243631917866.48	70
_Ireland	IRL	250813607686.11	25
_Chile	CHL	258061522886.53	30
_Finland	FIN	272216575502.25	10
_Philippines	PHL	284777093019.07	65
_Hong Kong	HKG	290895784165.8	25
_Egypt	EGY	301498960051.64	64
_Israel	ISR	305675000000.00	39
_Singapore	SGP	307859758503.67	15
_Malaysia	MYS	338103822298.27	50
_Denmark	DNK	342362478767.51	9
_South Africa	ZAF	350140810003.32	56
_Colombia	COL	377739622865.84	63
_United Arab Emirates	ARE	399451327433.63	30
_Thailand	THA	404823952117.93	62
_Iran	IRN	425326068422.88	73
_Austria	AUT	436887543466.95	24
_Norway	NOR	499817138323.2	13
_Belgium	BEL	531546586178.58	23
_Argentina	ARG	537659972702.09	68
_Poland	POL	544966555714.06	38
_Sweden	SWE	571090000000.00	11
__Switzerland	CHE	701037135966.05	14
_Saudi Arabia	SAU	753831733333.33	48
_Turkey	TUR	798429233036.33	58
_Netherlands	NLD	879319321494.64	13
_Indonesia	IDN	888538201025.35	64
_Mexico	MEX	1294689733233.03	65
_Spain	ESP	1381342101735.68	42
_Australia	AUS	1454675479665.84	21
_Canada	CAN	1785386649602.19	17
_Russia	RUS	1860597922763.44	71
_India	IND	2048517438873.54	62
_Italy	ITA	2141161325367.43	56
_Brazil	BRA	2416635506076.31	62
_France	FRA	2829192039171.84	30
_United Kingdom	GBR	2988893283565.2	19
_Germany	DEU	3868291231823.77	19
_Japan	JPN	4601461206885.08	25
